"clust_id","X_position","Y_position","type","SegmentType","GenesDetected","ROI_cat_num","x_axis",channel,Location
1,15150,24659,"Cortical layer V - NeuN+","NeuN+",6980,1,0.255768612609245,NeuN,Cortical layer V
2,15150,24659,"Cortical layer V - Iba1+","Iba1+",1363,2,1.53394550795201,Iba1,Cortical layer V
3,15150,24659,"Cortical layer V - GFAP+","GFAP+",1272,3,2.72247496293858,GFAP,Cortical layer V
4,15150,24659,"Cortical layer V - Neuropil","Neuropil",1723,4,3.42165108863264,All markers,Cortical layer V
1,17781,32538,"Cortical layer II/III - NeuN+","NeuN+",6735,1,0.372249139938504,NeuN,Cortical layer II/III
2,17781,32538,"Cortical layer II/III - Iba1+","Iba1+",1083,2,1.52083848870825,Iba1,Cortical layer II/III
3,17781,32538,"Cortical layer II/III - GFAP+","GFAP+",3235,3,2.30885218898766,GFAP,Cortical layer II/III
4,17781,32538,"Cortical layer II/III - Neuropil","Neuropil",1493,4,3.43745422759093,All markers,Cortical layer II/III
1,19978,31299,"Cortical layer V - NeuN+","NeuN+",7286,1,0.413755558431149,NeuN,Cortical layer V
2,19978,31299,"Cortical layer V - Iba1+","Iba1+",1920,2,1.4236028756015,Iba1,Cortical layer V
3,19978,31299,"Cortical layer V - GFAP+","GFAP+",1817,3,2.50528745616321,GFAP,Cortical layer V
4,19978,31299,"Cortical layer V - Neuropil","Neuropil",768,4,3.63122235774063,All markers,Cortical layer V
1,29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+",6862,1,0.55037458100356,NeuN,Hippocampal hilus
4,29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil",1826,4,3.74924541718792,All markers,Hippocampal hilus
1,24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+",6790,1,0.650200702380389,NeuN,Hippocampal hilus
4,24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil",1650,4,3.35664209071547,All markers,Hippocampal hilus
1,26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+",6411,1,0.316775949206203,NeuN,Hippocampal hilus
4,26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil",1644,4,3.64614115806762,All markers,Hippocampal hilus
1,17683,20128,"Hippocampus CA1 - NeuN+","NeuN+",6125,1,0.740952918655239,NeuN,Hippocampus CA1
2,17683,20128,"Hippocampus CA1 - Iba1+","Iba1+",816,2,1.54102439626586,Iba1,Hippocampus CA1
4,17683,20128,"Hippocampus CA1 - Neuropil","Neuropil",1240,4,3.61272173754405,All markers,Hippocampus CA1
1,16563,16483,"Hippocampus CA1 - NeuN+","NeuN+",6075,1,0.559142571990378,NeuN,Hippocampus CA1
2,16563,16483,"Hippocampus CA1 - Iba1+","Iba1+",1440,2,1.6790934021119,Iba1,Hippocampus CA1
4,16563,16483,"Hippocampus CA1 - Neuropil","Neuropil",1801,4,3.31969376793131,All markers,Hippocampus CA1
1,19727,22092,"Hippocampus CA1 - NeuN+","NeuN+",5864,1,0.433290260727517,NeuN,Hippocampus CA1
2,19727,22092,"Hippocampus CA1 - Iba1+","Iba1+",1193,2,1.42856511359569,Iba1,Hippocampus CA1
4,19727,22092,"Hippocampus CA1 - Neuropil","Neuropil",1366,4,3.5391991713084,All markers,Hippocampus CA1
1,12988,25768,"Cortical layer II/III - NeuN+","NeuN+",6724,1,0.492937289644033,NeuN,Cortical layer II/III
2,12988,25768,"Cortical layer II/III - Iba1+","Iba1+",1668,2,1.52510152019095,Iba1,Cortical layer II/III
3,12988,25768,"Cortical layer II/III - GFAP+","GFAP+",1809,3,2.70237694005482,GFAP,Cortical layer II/III
4,12988,25768,"Cortical layer II/III - Neuropil","Neuropil",903,4,3.72008235089015,All markers,Cortical layer II/III
1,14266,22500,"Cortical layer V - NeuN+","NeuN+",6363,1,0.636746618314646,NeuN,Cortical layer V
2,14266,22500,"Cortical layer V - Iba1+","Iba1+",1080,2,1.29610549286008,Iba1,Cortical layer V
3,14266,22500,"Cortical layer V - GFAP+","GFAP+",2381,3,2.25812171481084,GFAP,Cortical layer V
4,14266,22500,"Cortical layer V - Neuropil","Neuropil",1231,4,3.41675479349215,All markers,Cortical layer V
1,11922,23565,"Cortical layer II/III - NeuN+","NeuN+",7057,1,0.37092654616572,NeuN,Cortical layer II/III
2,11922,23565,"Cortical layer II/III - Iba1+","Iba1+",895,2,1.64603535912465,Iba1,Cortical layer II/III
3,11922,23565,"Cortical layer II/III - GFAP+","GFAP+",2424,3,2.49819351884071,GFAP,Cortical layer II/III
4,11922,23565,"Cortical layer II/III - Neuropil","Neuropil",1651,4,3.50693954515737,All markers,Cortical layer II/III
